tile_h,tile_v,target
5478,0,0
5511,0,0
5544,0,0
5313,33,0
5478,33,0
5511,33,0
5610,33,0
5643,33,0
5709,33,0
5742,33,0
5280,66,0
5313,66,0
5346,66,0
5412,66,0
5445,66,0
5478,66,0
5511,66,0
5544,66,0
5610,66,0
5643,66,0
5676,66,0
5742,66,0
5775,66,0
5214,99,0
5247,99,0
5280,99,0
5346,99,0
5412,99,0
5445,99,0
5478,99,0
5610,99,0
5643,99,0
5709,99,0
5775,99,0
5214,132,0
5247,132,0
5313,132,0
5445,132,0
5478,132,0
5544,132,0
5610,132,0
5709,132,0
5742,132,0
5808,132,0
5214,165,0
5247,165,0
5280,165,0
5313,165,0
5478,165,0
5511,165,0
5544,165,0
5577,165,0
5610,165,0
5676,165,0
5709,165,0
5775,165,0
5280,198,0
5346,198,0
5379,198,0
5412,198,0
5445,198,0
5544,198,0
5610,198,0
5643,198,0
5676,198,0
5709,198,0
5775,198,0
5808,198,0
4785,231,0
4818,231,0
4851,231,0
5280,231,0
5313,231,0
5346,231,0
5379,231,0
5412,231,0
5445,231,0
5478,231,0
5511,231,0
5544,231,0
5577,231,0
5610,231,0
5676,231,0
5709,231,0
5742,231,0
5808,231,0
5841,231,0
4686,264,0
4785,264,0
4818,264,0
5346,264,0
5379,264,0
5478,264,0
5610,264,0
5643,264,0
5676,264,0
5742,264,0
5775,264,0
5808,264,0
5841,264,0
5874,264,0
4653,297,0
4686,297,0
4719,297,0
4818,297,0
4851,297,0
4884,297,0
4917,297,0
4950,297,0
5412,297,0
5478,297,0
5577,297,0
5610,297,0
5676,297,0
5742,297,0
5775,297,0
5808,297,0
4686,330,0
4752,330,0
4818,330,0
4851,330,0
4917,330,0
4950,330,0
4983,330,0
5412,330,0
5445,330,0
5511,330,0
5544,330,0
5577,330,0
5610,330,0
5643,330,0
5676,330,0
5808,330,0
5841,330,0
5874,330,0
4653,363,0
4686,363,0
4785,363,0
4818,363,0
4851,363,0
4917,363,0
4983,363,0
5016,363,0
5478,363,0
5511,363,0
5544,363,0
5676,363,0
5709,363,0
5742,363,0
5775,363,0
5808,363,0
5841,363,0
5874,363,0
4653,396,0
4785,396,0
4851,396,0
4917,396,0
4950,396,0
4983,396,0
5049,396,0
5511,396,0
5544,396,0
5577,396,0
5610,396,0
5643,396,0
5676,396,0
5775,396,0
5808,396,0
5841,396,0
4686,429,0
4719,429,0
4785,429,0
4818,429,0
4851,429,0
4884,429,0
4917,429,0
4950,429,0
4983,429,0
5016,429,0
5082,429,0
5115,429,0
5148,429,0
5478,429,0
5511,429,0
5544,429,0
5577,429,0
5643,429,0
5676,429,0
5742,429,0
5841,429,0
4719,462,0
4752,462,0
4785,462,0
4818,462,0
4884,462,0
4917,462,0
4950,462,0
4983,462,0
5082,462,0
5115,462,0
5181,462,0
5511,462,0
5544,462,0
5577,462,0
5643,462,0
5742,462,0
5775,462,0
5808,462,0
4686,495,0
4719,495,0
4752,495,0
4818,495,0
4851,495,0
4884,495,0
4983,495,0
5016,495,0
5049,495,0
5082,495,0
5115,495,0
5148,495,0
5214,495,0
5544,495,0
5610,495,0
5643,495,0
5742,495,0
5775,495,0
4686,528,0
4851,528,0
4917,528,0
4950,528,0
5016,528,0
5082,528,0
5214,528,0
5247,528,0
